_H:	|epoch	sum_sum_se	
_D:	1149	0.589189	
_D:	1150	0.587048	
_D:	1151	0.584872	
_D:	1152	0.582659	
_D:	1153	0.580409	
_D:	1154	0.578122	
_D:	1155	0.575797	
_D:	1156	0.573434	
_D:	1157	0.571033	
_D:	1158	0.568593	
_D:	1159	0.566114	
_D:	1160	0.563595	
_D:	1161	0.561037	
_D:	1162	0.558439	
_D:	1163	0.5558		
_D:	1164	0.553122	
_D:	1165	0.550402	
_D:	1166	0.547643	
_D:	1167	0.544842	
_D:	1168	0.542002	
_D:	1169	0.53912		
_D:	1170	0.536198	
_D:	1171	0.533235	
_D:	1172	0.530232	
_D:	1173	0.527189	
_D:	1174	0.524106	
_D:	1175	0.520984	
_D:	1176	0.517822	
_D:	1177	0.514621	
_D:	1178	0.511381	
_D:	1179	0.508103	
_D:	1180	0.504788	
_D:	1181	0.501436	
_D:	1182	0.498047	
_D:	1183	0.494622	
_D:	1184	0.491163	
_D:	1185	0.487668	
_D:	1186	0.48414		
_D:	1187	0.48058		
_D:	1188	0.476987	
_D:	1189	0.473363	
_D:	1190	0.46971		
_D:	1191	0.466027	
_D:	1192	0.462316	
_D:	1193	0.458578	
_D:	1194	0.454815	
_D:	1195	0.451027	
_D:	1196	0.447215	
_D:	1197	0.443381	
_D:	1198	0.439526	
_D:	1199	0.435651	
_D:	1200	0.431759	
_D:	1201	0.427849	
_D:	1202	0.423923	
_D:	1203	0.419984	
_D:	1204	0.416031	
_D:	1205	0.412068	
_D:	1206	0.408095	
_D:	1207	0.404113	
_D:	1208	0.400125	
_D:	1209	0.396131	
_D:	1210	0.392134	
_D:	1211	0.388135	
_D:	1212	0.384135	
_D:	1213	0.380137	
_D:	1214	0.37614		
_D:	1215	0.372148	
_D:	1216	0.368162	
_D:	1217	0.364183	
_D:	1218	0.360212	
_D:	1219	0.356252	
_D:	1220	0.352303	
_D:	1221	0.348368	
_D:	1222	0.344447	
_D:	1223	0.340542	
_D:	1224	0.336655	
_D:	1225	0.332786	
_D:	1226	0.328938	
_D:	1227	0.32511		
_D:	1228	0.321306	
_D:	1229	0.317525	
_D:	1230	0.313769	
_D:	1231	0.310039	
_D:	1232	0.306336	
_D:	1233	0.302662	
_D:	1234	0.299016	
_D:	1235	0.295401	
_D:	1236	0.291817	
_D:	1237	0.288264	
_D:	1238	0.284744	
_D:	1239	0.281257	
_D:	1240	0.277805	
_D:	1241	0.274386	
_D:	1242	0.271003	
_D:	1243	0.267656	
_D:	1244	0.264345	
_D:	1245	0.261071	
_D:	1246	0.257833	
_D:	1247	0.254633	
_D:	1248	0.251471	
_D:	1249	0.248347	
_D:	1250	0.24526		
_D:	1251	0.242213	
_D:	1252	0.239203	
_D:	1253	0.236232	
_D:	1254	0.2333		
_D:	1255	0.230406	
_D:	1256	0.227551	
_D:	1257	0.224734	
_D:	1258	0.221957	
_D:	1259	0.219217	
_D:	1260	0.216515	
_D:	1261	0.213852	
_D:	1262	0.211227	
_D:	1263	0.208639	
_D:	1264	0.206089	
_D:	1265	0.203575	
_D:	1266	0.201099	
_D:	1267	0.19866		
_D:	1268	0.196256	
_D:	1269	0.193889	
_D:	1270	0.191557	
_D:	1271	0.189261	
_D:	1272	0.186999	
_D:	1273	0.184773	
_D:	1274	0.18258		
_D:	1275	0.180421	
_D:	1276	0.178295	
_D:	1277	0.176202	
_D:	1278	0.174142	
_D:	1279	0.172114	
_D:	1280	0.170118	
_D:	1281	0.168153	
_D:	1282	0.166218	
_D:	1283	0.164315	
_D:	1284	0.162441	
_D:	1285	0.160596	
_D:	1286	0.158781	
_D:	1287	0.156994	
_D:	1288	0.155236	
_D:	1289	0.153505	
_D:	1290	0.151801	
_D:	1291	0.150125	
_D:	1292	0.148475	
_D:	1293	0.146851	
_D:	1294	0.145253	
_D:	1295	0.143679	
_D:	1296	0.142131	
_D:	1297	0.140607	
_D:	1298	0.139107	
_D:	1299	0.137631	
_D:	1300	0.136177	
_D:	1301	0.134747	
_D:	1302	0.133338	
_D:	1303	0.131952	
_D:	1304	0.130587	
_D:	1305	0.129244	
_D:	1306	0.127921	
_D:	1307	0.126619	
_D:	1308	0.125337	
_D:	1309	0.124075	
_D:	1310	0.122832	
_D:	1311	0.121608	
_D:	1312	0.120403	
_D:	1313	0.119217	
_D:	1314	0.118048	
_D:	1315	0.116897	
_D:	1316	0.115764	
_D:	1317	0.114647	
_D:	1318	0.113548	
_D:	1319	0.112465	
_D:	1320	0.111398	
_D:	1321	0.110347	
_D:	1322	0.109312	
_D:	1323	0.108292	
_D:	1324	0.107287	
_D:	1325	0.106297	
_D:	1326	0.105321	
_D:	1327	0.10436		
_D:	1328	0.103413	
_D:	1329	0.102479	
_D:	1330	0.101559	
_D:	1331	0.100652	
_D:	1332	0.0997585	
_D:	1333	0.0988775	
_D:	1334	0.0980091	
_D:	1335	0.0971531	
_D:	1336	0.0963091	
_D:	1337	0.095477	
_D:	1338	0.0946567	
_D:	1339	0.0938478	
_D:	1340	0.0930502	
_D:	1341	0.0922637	
_D:	1342	0.0914881	
_D:	1343	0.0907232	
_D:	1344	0.0899687	
_D:	1345	0.0892246	
_D:	1346	0.0884906	
_D:	1347	0.0877666	
_D:	1348	0.0870523	
_D:	1349	0.0863477	
_D:	1350	0.0856525	
_D:	1351	0.0849667	
_D:	1352	0.0842899	
_D:	1353	0.0836221	
_D:	1354	0.0829631	
_D:	1355	0.0823128	
_D:	1356	0.0816709	
_D:	1357	0.0810375	
_D:	1358	0.0804122	
_D:	1359	0.0797951	
_D:	1360	0.0791859	
_D:	1361	0.0785845	
_D:	1362	0.0779909	
_D:	1363	0.0774047	
_D:	1364	0.076826	
_D:	1365	0.0762546	
_D:	1366	0.0756903	
_D:	1367	0.0751332	
_D:	1368	0.0745829	
_D:	1369	0.0740395	
_D:	1370	0.0735028	
_D:	1371	0.0729728	
_D:	1372	0.0724492	
_D:	1373	0.071932	
_D:	1374	0.0714211	
_D:	1375	0.0709164	
_D:	1376	0.0704178	
_D:	1377	0.0699252	
_D:	1378	0.0694384	
_D:	1379	0.0689575	
_D:	1380	0.0684823	
_D:	1381	0.0680126	
_D:	1382	0.0675485	
_D:	1383	0.0670899	
_D:	1384	0.0666366	
_D:	1385	0.0661886	
_D:	1386	0.0657457	
_D:	1387	0.065308	
_D:	1388	0.0648752	
_D:	1389	0.0644474	
_D:	1390	0.0640245	
_D:	1391	0.0636064	
_D:	1392	0.0631931	
_D:	1393	0.0627843	
_D:	1394	0.0623802	
_D:	1395	0.0619805	
_D:	1396	0.0615853	
_D:	1397	0.0611945	
_D:	1398	0.060808	
_D:	1399	0.0604257	
_D:	1400	0.0600476	
_D:	1401	0.0596736	
_D:	1402	0.0593037	
_D:	1403	0.0589377	
_D:	1404	0.0585758	
_D:	1405	0.0582177	
_D:	1406	0.0578634	
_D:	1407	0.0575129	
_D:	1408	0.0571661	
_D:	1409	0.0568229	
_D:	1410	0.0564834	
_D:	1411	0.0561474	
_D:	1412	0.0558149	
_D:	1413	0.0554859	
_D:	1414	0.0551603	
_D:	1415	0.054838	
_D:	1416	0.0545191	
_D:	1417	0.0542034	
_D:	1418	0.0538909	
_D:	1419	0.0535816	
_D:	1420	0.0532754	
_D:	1421	0.0529723	
_D:	1422	0.0526723	
_D:	1423	0.0523752	
_D:	1424	0.0520811	
_D:	1425	0.0517899	
_D:	1426	0.0515016	
_D:	1427	0.0512161	
_D:	1428	0.0509335	
_D:	1429	0.0506536	
_D:	1430	0.0503764	
_D:	1431	0.0501019	
_D:	1432	0.04983		
_D:	1433	0.0495608	
_D:	1434	0.0492941	
_D:	1435	0.04903		
_D:	1436	0.0487684	
_D:	1437	0.0485092	
_D:	1438	0.0482526	
_D:	1439	0.0479983	
_D:	1440	0.0477464	
_D:	1441	0.0474969	
_D:	1442	0.0472497	
_D:	1443	0.0470048	
_D:	1444	0.0467621	
_D:	1445	0.0465217	
_D:	1446	0.0462835	
_D:	1447	0.0460474	
_D:	1448	0.0458135	
_D:	1449	0.0455818	
_D:	1450	0.0453521	
_D:	1451	0.0451245	
_D:	1452	0.0448989	
_D:	1453	0.0446754	
_D:	1454	0.0444538	
_D:	1455	0.0442342	
_D:	1456	0.0440166	
_D:	1457	0.0438008	
_D:	1458	0.043587	
_D:	1459	0.043375	
_D:	1460	0.0431649	
_D:	1461	0.0429566	
_D:	1462	0.0427501	
_D:	1463	0.0425454	
_D:	1464	0.0423425	
_D:	1465	0.0421413	
_D:	1466	0.0419418	
_D:	1467	0.041744	
_D:	1468	0.0415479	
_D:	1469	0.0413534	
_D:	1470	0.0411606	
_D:	1471	0.0409694	
_D:	1472	0.0407798	
_D:	1473	0.0405917	
_D:	1474	0.0404053	
_D:	1475	0.0402204	
_D:	1476	0.0400369	
_D:	1477	0.0398551	
