_H:	|epoch	sum_sum_se	
_D:	265	1.05906		
_D:	266	1.05903		
_D:	267	1.059		
_D:	268	1.05897		
_D:	269	1.05894		
_D:	270	1.05891		
_D:	271	1.05887		
_D:	272	1.05884		
_D:	273	1.05881		
_D:	274	1.05878		
_D:	275	1.05875		
_D:	276	1.05872		
_D:	277	1.05869		
_D:	278	1.05866		
_D:	279	1.05863		
_D:	280	1.0586		
_D:	281	1.05857		
_D:	282	1.05854		
_D:	283	1.05851		
_D:	284	1.05848		
_D:	285	1.05845		
_D:	286	1.05842		
_D:	287	1.05839		
_D:	288	1.05836		
_D:	289	1.05833		
_D:	290	1.0583		
_D:	291	1.05827		
_D:	292	1.05823		
_D:	293	1.0582		
_D:	294	1.05817		
_D:	295	1.05814		
_D:	296	1.05811		
_D:	297	1.05808		
_D:	298	1.05805		
_D:	299	1.05802		
_D:	300	1.05799		
_D:	301	1.05796		
_D:	302	1.05793		
_D:	303	1.0579		
_D:	304	1.05787		
_D:	305	1.05784		
_D:	306	1.05781		
_D:	307	1.05777		
_D:	308	1.05774		
_D:	309	1.05771		
_D:	310	1.05768		
_D:	311	1.05765		
_D:	312	1.05762		
_D:	313	1.05759		
_D:	314	1.05756		
_D:	315	1.05752		
_D:	316	1.05749		
_D:	317	1.05746		
_D:	318	1.05743		
_D:	319	1.0574		
_D:	320	1.05737		
_D:	321	1.05733		
_D:	322	1.0573		
_D:	323	1.05727		
_D:	324	1.05724		
_D:	325	1.05721		
_D:	326	1.05717		
_D:	327	1.05714		
_D:	328	1.05711		
_D:	329	1.05708		
_D:	330	1.05704		
_D:	331	1.05701		
_D:	332	1.05698		
_D:	333	1.05695		
_D:	334	1.05691		
_D:	335	1.05688		
_D:	336	1.05685		
_D:	337	1.05681		
_D:	338	1.05678		
_D:	339	1.05674		
_D:	340	1.05671		
_D:	341	1.05668		
_D:	342	1.05664		
_D:	343	1.05661		
_D:	344	1.05657		
_D:	345	1.05654		
_D:	346	1.0565		
_D:	347	1.05647		
_D:	348	1.05643		
_D:	349	1.0564		
_D:	350	1.05636		
_D:	351	1.05633		
_D:	352	1.05629		
_D:	353	1.05625		
_D:	354	1.05622		
_D:	355	1.05618		
_D:	356	1.05614		
_D:	357	1.05611		
_D:	358	1.05607		
_D:	359	1.05603		
_D:	360	1.056		
_D:	361	1.05596		
_D:	362	1.05592		
_D:	363	1.05588		
_D:	364	1.05584		
_D:	365	1.0558		
_D:	366	1.05577		
_D:	367	1.05573		
_D:	368	1.05569		
_D:	369	1.05565		
_D:	370	1.05561		
_D:	371	1.05557		
_D:	372	1.05553		
_D:	373	1.05549		
_D:	374	1.05545		
_D:	375	1.0554		
_D:	376	1.05536		
_D:	377	1.05532		
_D:	378	1.05528		
_D:	379	1.05524		
_D:	380	1.05519		
_D:	381	1.05515		
_D:	382	1.05511		
_D:	383	1.05506		
_D:	384	1.05502		
_D:	385	1.05497		
_D:	386	1.05493		
_D:	387	1.05488		
_D:	388	1.05484		
_D:	389	1.05479		
_D:	390	1.05475		
_D:	391	1.0547		
_D:	392	1.05465		
_D:	393	1.05461		
_D:	394	1.05456		
_D:	395	1.05451		
_D:	396	1.05446		
_D:	397	1.05441		
_D:	398	1.05436		
_D:	399	1.05431		
_D:	400	1.05426		
_D:	401	1.05421		
_D:	402	1.05416		
_D:	403	1.05411		
_D:	404	1.05405		
_D:	405	1.054		
_D:	406	1.05395		
_D:	407	1.05389		
_D:	408	1.05384		
_D:	409	1.05379		
_D:	410	1.05373		
_D:	411	1.05367		
_D:	412	1.05362		
_D:	413	1.05356		
_D:	414	1.0535		
_D:	415	1.05345		
_D:	416	1.05339		
_D:	417	1.05333		
_D:	418	1.05327		
_D:	419	1.05321		
_D:	420	1.05315		
_D:	421	1.05308		
_D:	422	1.05302		
_D:	423	1.05296		
_D:	424	1.05289		
_D:	425	1.05283		
_D:	426	1.05276		
_D:	427	1.0527		
_D:	428	1.05263		
_D:	429	1.05256		
_D:	430	1.0525		
_D:	431	1.05243		
_D:	432	1.05236		
_D:	433	1.05229		
_D:	434	1.05222		
_D:	435	1.05214		
_D:	436	1.05207		
_D:	437	1.052		
_D:	438	1.05192		
_D:	439	1.05185		
_D:	440	1.05177		
_D:	441	1.05169		
_D:	442	1.05162		
_D:	443	1.05154		
_D:	444	1.05146		
_D:	445	1.05138		
_D:	446	1.05129		
_D:	447	1.05121		
_D:	448	1.05113		
_D:	449	1.05104		
_D:	450	1.05096		
_D:	451	1.05087		
_D:	452	1.05078		
_D:	453	1.05069		
_D:	454	1.0506		
_D:	455	1.05051		
_D:	456	1.05042		
_D:	457	1.05033		
_D:	458	1.05023		
_D:	459	1.05013		
_D:	460	1.05004		
_D:	461	1.04994		
_D:	462	1.04984		
_D:	463	1.04974		
_D:	464	1.04964		
_D:	465	1.04953		
_D:	466	1.04943		
_D:	467	1.04932		
_D:	468	1.04921		
_D:	469	1.0491		
_D:	470	1.04899		
_D:	471	1.04888		
_D:	472	1.04877		
_D:	473	1.04865		
_D:	474	1.04854		
_D:	475	1.04842		
_D:	476	1.0483		
_D:	477	1.04818		
_D:	478	1.04805		
_D:	479	1.04793		
_D:	480	1.0478		
_D:	481	1.04767		
_D:	482	1.04754		
_D:	483	1.04741		
_D:	484	1.04728		
_D:	485	1.04714		
_D:	486	1.04701		
_D:	487	1.04687		
_D:	488	1.04673		
_D:	489	1.04658		
_D:	490	1.04644		
_D:	491	1.04629		
_D:	492	1.04614		
_D:	493	1.04599		
_D:	494	1.04584		
_D:	495	1.04568		
_D:	496	1.04552		
_D:	497	1.04536		
_D:	498	1.0452		
_D:	499	1.04504		
_D:	500	1.04487		
_D:	501	1.0447		
_D:	502	1.04453		
_D:	503	1.04435		
_D:	504	1.04418		
_D:	505	1.044		
_D:	506	1.04382		
_D:	507	1.04363		
_D:	508	1.04345		
_D:	509	1.04326		
_D:	510	1.04306		
_D:	511	1.04287		
_D:	512	1.04267		
_D:	513	1.04247		
_D:	514	1.04227		
_D:	515	1.04206		
_D:	516	1.04185		
_D:	517	1.04164		
_D:	518	1.04142		
_D:	519	1.0412		
_D:	520	1.04098		
_D:	521	1.04075		
_D:	522	1.04053		
_D:	523	1.04029		
_D:	524	1.04006		
_D:	525	1.03982		
_D:	526	1.03958		
_D:	527	1.03933		
_D:	528	1.03908		
_D:	529	1.03883		
_D:	530	1.03857		
_D:	531	1.03831		
_D:	532	1.03805		
_D:	533	1.03778		
_D:	534	1.0375		
_D:	535	1.03723		
_D:	536	1.03695		
_D:	537	1.03666		
_D:	538	1.03637		
_D:	539	1.03608		
_D:	540	1.03578		
_D:	541	1.03548		
_D:	542	1.03517		
_D:	543	1.03486		
_D:	544	1.03455		
_D:	545	1.03423		
_D:	546	1.0339		
_D:	547	1.03357		
_D:	548	1.03324		
_D:	549	1.0329		
_D:	550	1.03255		
_D:	551	1.0322		
_D:	552	1.03185		
_D:	553	1.03149		
_D:	554	1.03112		
_D:	555	1.03075		
_D:	556	1.03037		
_D:	557	1.02999		
_D:	558	1.0296		
_D:	559	1.02921		
_D:	560	1.02881		
_D:	561	1.02841		
_D:	562	1.028		
_D:	563	1.02758		
_D:	564	1.02716		
_D:	565	1.02673		
_D:	566	1.02629		
_D:	567	1.02585		
_D:	568	1.0254		
_D:	569	1.02494		
_D:	570	1.02448		
_D:	571	1.02401		
_D:	572	1.02354		
_D:	573	1.02305		
_D:	574	1.02257		
_D:	575	1.02207		
_D:	576	1.02156		
_D:	577	1.02105		
_D:	578	1.02053		
_D:	579	1.02001		
_D:	580	1.01947		
_D:	581	1.01893		
_D:	582	1.01838		
_D:	583	1.01782		
_D:	584	1.01726		
_D:	585	1.01669		
_D:	586	1.0161		
_D:	587	1.01551		
_D:	588	1.01491		
_D:	589	1.01431		
_D:	590	1.01369		
_D:	591	1.01307		
_D:	592	1.01243		
_D:	593	1.01179		
_D:	594	1.01114		
_D:	595	1.01048		
_D:	596	1.00981		
